0.48915,0.33304,0.50644,0.47141,0.49057,0.49827,0.49704,0.59381,0.48061,0.56051,0.52864,0.54719,0.66335,0.38899,0.38605,0.39314,0.49787,0.47828,0.46731,0.46731
0.47409,0.52922,0.55673,0.52728,0.54497,0.54918,0.53589,0.62143,0.53985,0.55802,0.5786,0.54884,0.46619,0.52037,0.45747,0.58014,0.65005,0.51599,0.50233,0.50233
0.52148,0.5714,0.58644,0.57139,0.55812,0.59609,0.60426,0.78181,0.59874,0.6055,0.61859,0.6078,0.46744,0.64342,0.47735,0.59398,0.5109,0.64061,0.51796,0.51796
0.5804,0.58384,0.61506,0.60893,0.63049,0.63298,0.60458,0.65573,0.65572,0.60712,0.62624,0.65704,0.68214,0.52444,0.60308,0.64792,0.57768,0.57761,0.68798,0.68798
0.65355,0.71814,0.62588,0.65795,0.66168,0.68043,0.67124,0.7505,0.65081,0.57078,0.68161,0.71071,0.77374,0.40635,0.6882,0.80369,0.67634,0.51937,0.77097,0.77097
0.54848,0.4591,0.58405,0.56981,0.56614,0.60589,0.62482,0.60252,0.5869,0.54447,0.55252,0.56804,0.56582,0.61535,0.59863,0.47528,0.41917,0.51845,0.5002,0.5002
0.6334,0.72662,0.64806,0.62638,0.62798,0.642,0.63258,0.6395,0.6717,0.65625,0.65321,0.65613,0.72181,0.63374,0.68383,0.7576,0.6334,0.66551,0.65521,0.65521
0.53558,0.53719,0.52112,0.54777,0.57657,0.58152,0.57955,0.58475,0.56501,0.45297,0.58699,0.59221,0.5651,0.5663,0.53958,0.22573,0.64995,0.69572,0.75114,0.75114
0.59026,0.57552,0.65671,0.60148,0.6315,0.61748,0.59464,0.82864,0.61249,0.59638,0.66072,0.67968,0.668,0.49104,0.5275,0.59419,0.73259,0.57273,0.4162,0.4162
0.65236,0.65799,0.65711,0.67595,0.66447,0.66538,0.6356,0.82801,0.67593,0.56073,0.66998,0.63343,0.56734,0.67571,0.63644,0.57085,0.6657,0.64481,0.59469,0.59469
0.74383,0.72173,0.70526,0.71111,0.70892,0.69592,0.6782,0.6744,0.71429,0.7959,0.68405,0.71214,0.79477,0.6392,0.61516,0.79641,0.67553,0.7324,0.83471,0.83471
0.74283,0.67068,0.7243,0.75263,0.72528,0.73069,0.71098,0.81079,0.74325,0.84083,0.75231,0.73791,0.69067,0.72871,0.66208,0.75271,0.50903,0.77549,0.77205,0.77205
0.59038,0.68543,0.60346,0.65168,0.65649,0.64757,0.65495,0.64569,0.66314,0.64955,0.64691,0.66013,0.57103,0.73964,0.58359,0.74872,0.72854,0.5867,0.5744,0.5744
0.72872,0.62058,0.72061,0.68533,0.68885,0.69175,0.69045,0.81485,0.70288,0.66541,0.70137,0.67387,0.81946,0.71737,0.63669,0.67118,0.80671,0.74652,0.80201,0.80201
0.77138,0.80128,0.76192,0.74166,0.72727,0.70892,0.71979,0.78364,0.73544,0.71041,0.73051,0.76866,0.73343,0.67305,0.70657,0.60574,0.61546,0.80889,0.7536,0.7536
0.7873,0.81706,0.82046,0.77026,0.77102,0.7445,0.71307,0.71432,0.77891,0.77191,0.77354,0.74911,0.88924,0.80998,0.6146,0.80992,0.65698,0.7949,0.69936,0.69936
0.63428,0.62824,0.61737,0.65515,0.66355,0.68787,0.64976,0.66335,0.68536,0.55394,0.66848,0.64952,0.70047,0.64495,0.6592,0.41547,0.70461,0.6359,0.8469,0.8469
0.70766,0.73558,0.74314,0.73033,0.71451,0.70494,0.69926,0.90997,0.72828,0.6904,0.73306,0.66133,0.8405,0.63128,0.69355,0.72961,0.78645,0.75246,0.84123,0.84123
